t_ms,x,y
1200,1040.22,657.34
1205,1040.22,657.34
1210,1040.22,657.34
1214,1040.22,657.34
1219,1040.22,657.34
1223,1040.22,657.34
1228,1040.22,657.34
1233,1040.22,657.34
1237,1040.22,657.34
1242,1040.22,657.34
1247,1040.22,657.34
1251,1040.22,657.34
1256,1040.22,657.34
1261,1040.22,657.34
1265,1040.22,657.34
1270,1040.22,657.34
1275,1040.22,657.34
1279,1040.22,657.34
1284,1040.22,657.34
1288,1040.22,657.34
1293,1040.22,657.34
1298,1040.22,657.34
1302,1040.22,657.34
1307,1040.22,657.34
1312,1040.22,657.34
1317,1040.22,657.34
1322,1040.22,657.34
1327,1040.22,657.34
1332,1040.22,657.34
1337,1040.22,657.34
1342,1040.22,657.34
1347,1040.22,657.34
1352,1040.22,657.34
1356,1040.22,657.34
1361,1040.22,657.34
1365,1040.22,657.34
1370,1040.22,657.34
1374,1040.22,657.34
1379,1040.22,657.34
1383,1040.22,657.34
1388,1040.22,657.34
1393,1040.22,657.34
1397,1040.22,657.34
1402,1040.22,657.34
1407,1040.22,657.34
1412,1040.22,657.34
1417,1040.22,657.34
1421,1040.22,657.34
1426,1040.22,657.34
1431,1040.22,657.34
1435,1040.22,657.34
1440,1040.22,657.34
1444,1040.22,657.34
1449,1040.22,657.34
1454,1040.22,657.34
1459,1040.22,657.34
1464,1040.22,657.34
1469,1040.22,657.34
1474,1040.22,657.34
1478,1040.22,657.34
1483,1040.22,657.34
1488,1040.22,657.34
1493,1040.22,657.34
1498,1040.22,657.34
1502,1040.22,657.34
1507,1040.22,657.34
1512,1040.22,657.34
1517,1040.22,657.34
1522,1040.22,657.34
1527,1040.22,657.34
1531,1040.22,657.34
1536,1040.22,657.34
1541,1040.22,657.34
1546,1040.22,657.34
1551,1040.22,657.34
1555,1040.22,657.34
1560,1040.22,657.34
1565,1040.22,657.34
1570,1040.22,657.34
1575,1040.22,657.34
1579,1040.22,657.34
1584,1040.22,657.34
1588,1040.22,657.34
